,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
Perl_hfree_next_entry,232.79,18.37,0,0,400,24,0,0,0,0,-0.01,4.5
S_study_chunk,907.06,1.06,6.37,-4.37,84.81,7.93,0,0,0,0,-0.01,2.7
S_matcher_matches_sv,0,0,0,0,0,0,0,0,0,0,0,0
Perl_hv_iternext_flags,5.13,47.6,0,0,18.19,15.03,0,0,0,0,-0.02,3.6
Perl_pp_padav,24.53,41.08,0,0,100,100,0,0,0,0,-0.02,14.6
Perl_pp_split,460.32,-5.99,0,0,47.83,-3.71,0,0,0,0,-0.01,4.7
Perl_pp_null,0,0,0,0,0,0,0,0,0,0,0.03,0
Perl_pp_seq,0,50,0,0,0,0,0,0,0,0,-0.04,10.5
Perl_pp_defined,40,-16.32,0,0,0,0,0,0,0,0,0,6.2
S_regcppop,55,48.88,60,62.5,60,62.5,0,0,0,37.5,0.02,44.3
Perl_pp_grepwhile,5.5,24.44,0,16.66,0,16.66,0,0,0,33.33,0.02,10.2
MD5Transform,0,0.5,0,0,0,0,0,0,0,0,-0.01,10.6
Perl_push_scope,0,0,0,0,0,0,0,0,0,0,0,0
S_concat_pat,212.43,15.2,0,0,225,35.58,1575,0,0,0,-0.02,3.9
Perl_av_fetch,0,34.48,0,0,0,0,0,0,0,0,-0.03,11.7
Perl_pp_return,4.25,18.3,0,0,90.33,43.85,0,0,0,0,-0.02,7.5
Perl_foldEQ,0,44.44,0,0,0,0,0,0,0,0,-0.01,21.4
S_cleanup_regmatch_info_aux,0,5.4,0,0,0,0,0,0,0,0,0.08,2.4
Perl_sv_setpvn,22.5,9.65,0,0,38.47,-1.71,0,0,0,0,-0.23,11.8
Perl_av_store,6.39,12.4,0,0,0,20,0,0,0,0,-0.01,5.1
S_opmethod_stash,146.84,3.6,0,0,671.43,30.16,0,0,0,0,0,1.7
S_find_and_forget_pmops,0,0,0,0,0,0,0,0,0,0,0.01,1.8
Perl_pp_leaveloop,15,32.07,0,0,0,0,0,0,0,0,-0.04,11.6
S_regatom,201.33,4.82,0,0,52.57,23.36,0,0,0,0,-0.01,0.2
S_leave_common,5.27,24.21,66.67,-40,66.67,-40,0,0,0,0,0.02,0.5
Perl_mg_get,-17.95,39.98,0,0,-27.28,63.63,0,0,0,0,-0.02,8
Perl_pp_push,1.86,26.57,0,0,0,0,0,0,0,0,0.01,10.8
Perl_pp_preinc,46.67,68.48,0,0,0,0,0,0,0,0,0.12,23.9
S_hsplit,13.8,25.39,0,0,4.17,29.83,0,0,0,0,0,14.8
S_reg,95.36,-3.23,0,0,-2.66,12.8,0,0,0,0,0,-0.1
Perl_mg_find,0,50,0,0,0,0,0,0,0,0,0,35.5
Perl_newSV,75,35.72,50,58.34,50,58.34,1500,0,0,0,0.01,4.1
Perl_pp_sort,19.18,19.8,29.86,31.99,29.86,31.99,0,0,0,0,0.01,4.4
Perl_sv_setiv,0,0,0,0,28.58,9.52,0,0,0,0,-0.01,0.1
S_cv_clone,86.84,6.45,254,6.76,254,6.76,0,0,0,0,0.03,12.3
Perl_pp_enteriter,116.67,48.16,0,10,0,10,0,0,0,0,0.02,13.8
Perl_save_strlen,0,0,0,0,0,27.27,0,0,0,0,0,12.1
Perl_pp_gt,42.11,75.24,0,0,0,0,0,0,0,0,-0.03,23.9
S_gv_fetchmeth_internal,347.18,21,92.31,41.84,92.31,41.84,0,0,0,0,0.02,9.3
Perl_sv_2mortal,0,0,0,0,-50,100,0,0,0,0,0,7.3
S_reg_set_capture_string,29.37,23.9,7.15,24.28,7.15,24.28,0,0,0,0,0.02,15
Perl_pp_shift,0,16.66,0,0,0,0,0,0,0,0,-0.01,5.3
Perl_gv_fetchmethod_pvn_flags,0,6.79,0,0,0,0,0,0,0,0,0,0.4
df_worklist_dataflow,16.02,58.76,925.51,-9.68,0,0,0,0,0,0,0.37,23
bitmap_set_bit,67.78,16.33,0,0,0,0,0,0,0,0,-0.21,0
bitmap_bit_p,75,25,0,0,0,0,0,0,0,0,0,0
df_note_compute,206.96,-5.38,0,0,0,0,0,0,0,0,0.12,0
bitmap_ior_into,68.8,48.02,0,0,0,0,-33.34,-33.34,0,0,-0.63,0
fast_dce,-11.68,25.48,0,0,0,0,0,0,0,0,0,0
bitmap_copy,85.72,19.68,0,0,0,0,0,0,0,0,-0.16,0
bitmap_and,115.18,37.93,0,0,0,0,0,0,0,0,0.02,0
df_lr_bb_local_compute,360.56,5.49,1427.78,-8.29,0,0,0,0,0,0,0.22,22.6
find_reg_note,0,0,0,0,0,0,0,0,0,0,0,0
et_splay,593.97,72.37,0,0,0,0,0,0,0,0,0.05,0
sched_analyze_insn,2.73,10.54,0,0,0,0,0,0,0,0,-0.01,0
bitmap_ior_and_compl,208.14,6.19,0,0,0,0,0,0,0,0,-0.01,0
bitmap_and_into,61.3,50.95,0,0,0,0,-33.34,-33.34,0,0,-0.06,0
df_live_bb_local_compute,245.21,-2.74,150,64.29,0,0,0,0,0,0,0.1,28.9
rtl_split_edge,-1.89,39.93,0,0,0,0,0,0,0,0,-0.03,0
cleanup_cfg,612.46,-23.47,852,39.03,20.84,12.5,0,0,0,100,0.08,7.3
df_simulate_one_insn_forwards,67.65,23.84,0,0,0,0,0,0,0,0,-0.12,0
bitmap_elt_ior,10.43,10.56,0,0,0,0,0,0,0,0,-0.03,0
find_unreachable_blocks,23.53,75.26,0,0,0,0,0,0,0,0,-0.03,0
