,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
duplicate_ssa_name,0,66.66,0,0,0,0,0,0,0,0,0,0
register_new_update_set,0,40,0,0,0,0,0,0,0,0,-0.01,0
sel_setup_sched_infos,0,0,0,0,0,0,0,0,0,0,0,0
find_ebb_boundaries,12.13,13.59,0,0,0,0,0,0,0,0,0,0
init_fences,0,4.92,0,0,0,0,0,0,0,0,0,0
sel_finish_global_and_expr,0,13.16,0,0,0,0,0,0,0,0,-0.02,0
sel_init_bbs,0,0,0,0,0,0,0,0,0,0,0,0
sel_sched_region_2,158.85,-14.98,0,0,0,0,0,0,0,0,-0.02,0
layout_decl,25.47,5.62,0,0,0,0,0,0,0,0,0,0
split_1,3.91,18.94,0,0,0,0,0,0,0,0,0.02,0
cfg_layout_delete_block,-11.22,32.32,0,0,0,0,0,0,0,0,0,0
gen_rtvec,200,60,0,0,0,0,714.29,-12.53,0,0,-0.01,0
assign_hard_reg,60.56,16.82,330.14,3.64,-13.64,31.34,-4.77,3.57,0,0,0.02,9.5
associative_tree_code,0,0,0,0,0,0,0,0,0,0,0,0
df_scan_free_bb_info,418.47,-12.96,0,0,0,0,0,0,0,0,0.01,0
redirect_branch_edge,0,52,0,0,0,0,0,0,0,0,-0.01,0
find_equiv_reg,-5.6,23.44,0,0,0,0,0,0,0,0,-0.01,0
nearest_common_dominator_for_set,-8.7,43.21,0,0,0,0,0,0,0,0,0.01,0
link_use_stmts_after,0,0,0,0,0,0,0,0,0,0,0,0
insert_phi_nodes_for,323.95,-3.58,0,0,0,0,0,0,0,0,0.03,0
get_rank,-3.67,29.16,0,0,0,0,0,0,0,0,0,0
label_to_alignment,0,0,0,0,0,0,0,0,0,0,0,0
promote_function_mode,0,0,0,0,0,0,0,0,0,0,0,0
locate_and_pad_parm,30.77,13.12,0,0,0,0,0,0,0,0,0,0
store_one_arg,0,10.52,0,0,0,0,0,0,0,0,-0.01,0
build_unary_op,5.59,19.25,0,0,0,0,0,0,0,0,0.01,0
extract_range_basic,12.82,25.86,0,0,0,0,0,0,0,0,-0.01,0
same_phi_args_p,0,72,0,0,0,0,0,0,0,0,0.01,0
register_edge_assert_for_1,0,61.13,0,0,0,0,0,0,0,0,-0.01,0
expand_call,72.81,-4.95,0,0,0,0,960,-12.08,0,0,-0.03,0
set_location_for_edge,0,33.33,0,0,0,0,0,0,0,0,0.01,0
cheap_bb_rtx_cost_p,-23.53,41.86,0,0,0,0,0,0,0,0,-0.01,0
decl_refs_may_alias_p,0,0,0,0,0,0,0,0,0,0,-0.01,0
reorder_insns,32.61,50.36,0,0,0,0,0,0,0,0,-0.01,0
extract_range_from_binary_expr,4.28,19.48,5.87,-0.84,0,0,0,0,0,0,0.03,1.1
fibheap_extr_min_node,114.64,52.3,0,0,0,0,0,0,0,0,0,0
use_killed_between,-7.15,64.74,0,0,0,0,0,0,0,0,0,0
simplify_unary_operation,0,0,0,0,0,0,0,0,0,0,0,0
vec_gc_p_reserve_exact,0,0,0,0,0,0,0,0,0,0,0,0
phi_alternatives_equal,0,58.33,144.45,88.88,0,0,0,0,0,0,0.01,19.9
add_dirty_fence_to_fences,0,3.8,0,0,0,0,0,0,0,0,-0.01,0
add_to_fences,-21.43,25.97,0,0,0,0,0,0,0,0,0,0
sort_by_operand_rank,0,83.67,0,0,0,0,0,0,0,0,0,0
find_what_var_points_to,-20.34,59.68,0,0,0,0,0,0,0,0,0,0
linearize_expr_tree,27.48,26.06,0,0,0,0,0,0,0,0,0,0
c_parser_else_body,0,0,0,0,0,0,0,0,0,0,0,0
create_edge_and_update_destination_phis,-12.83,66.66,0,0,0,0,0,0,0,0,0,0
gimple_duplicate_bb,-2.18,45.07,0,0,0,0,0,0,0,0,0.01,0
free_dominance_info,0,75,0,0,0,0,0,0,0,0,0,0
label_to_block_fn,0,23.81,0,0,0,0,0,0,0,0,0.01,0
gimple_find_edge_insert_loc,20.98,49.78,200,77.78,0,100,0,0,0,0,0.01,15.9
reg_bitfield_target_p,0,15.62,0,0,0,0,0,0,0,0,0,0
validate_replace_rtx_1,51.38,43.05,60,55.83,-12.5,32.15,0,0,0,0,0.01,3.7
grokdeclarator,53.54,5.11,0,0,0,0,0,0,0,0,0,0
validate_equiv_mem,0,14.29,115.79,50.58,0,0,0,0,0,0,0.01,11
execute_one_pass,2.37,9.05,0,0,0,0,0,0,0,0,-0.02,0
find_dummy_reload,133.34,16.95,0,0,0,0,0,0,0,0,-0.01,0
rtx_equal_p_cb,566.67,-14.46,1780,8.01,0,0,0,0,0,0,0.02,1.2
target_default_pointer_address_modes_p,0,0,0,0,0,0,0,0,0,0,-0.01,0
try_replace_dest_reg,156.53,17.72,0,0,0,0,0,0,0,0,0,0
df_compute_regs_ever_live,-19.24,35.72,0,0,0,0,0,0,0,0,0,0
df_maybe_reorganize_def_refs,-50,0,0,0,0,0,0,0,0,0,0.01,20.9
cleanup_tree_cfg,12.5,50.46,0,0,0,0,0,0,0,0,-0.04,0
haifa_note_mem_dep,0,5.88,0,0,0,0,0,0,0,0,0,0
prune_bbs_to_update_dominators,7.62,55.64,0,0,0,0,0,0,0,0,0,0
df_lr_alloc,91.49,49.86,0,0,0,0,0,0,0,0,0.01,0
has_dependence_note_mem_dep,0,0,0,0,0,0,0,0,0,0,0,0
df_bb_regno_last_def_find,0,63.16,0,0,0,0,0,0,0,0,0,0
delete_dead_jumptables,30.49,22.81,116.22,38.61,0,0,0,0,0,0,0.03,16.6
thread_through_all_blocks,10.94,24.26,0,0,0,0,0,0,0,0,0,0
clear_bb_flags,0,50,0,0,0,0,0,0,0,0,0,0
compute_hash_table,4.33,22.7,0,0,0,0,3300,0,0,0,0.01,0
compute_inline_parameters,-11.86,37.03,0,0,0,0,0,0,0,0,-0.01,0
compute_may_aliases,13.58,35.27,104.84,39.13,0,0,0,0,0,0,0.02,12.5
do_ssa_ccp,612.5,-23.9,0,0,0,0,0,0,0,0,-0.01,0
regstat_init_n_sets_and_refs,9.26,21.06,33.34,45.83,57.15,38.96,642.86,0,0,0,0.01,9
commit_edge_insertions,30.31,53.42,0,0,0,0,0,0,0,0,-0.01,0
free_aux_for_blocks,0,100,0,0,0,0,0,0,0,0,0,0
function_called_by_processed_nodes_p,0,34.79,0,0,0,0,0,0,0,0,0,0
eliminate_degenerate_phis_1,0,0,0,0,0,0,0,0,0,0,0,0
fini_pre,0,100,0,0,0,0,0,0,0,0,0.01,10.8
tree_ssa_dominator_optimize,-9.21,25.1,0,0,0,0,0,0,0,0,0,0
build_cgraph_edges,182.46,-2.59,0,0,0,0,0,0,0,0,-0.01,0
default_case_values_threshold,0,0,0,0,0,0,0,0,0,0,0.01,0
find_referenced_vars,-10.72,38.42,0,0,0,0,0,0,0,0,0,0
lower_sequence,25.14,50.31,0,0,0,0,0,0,0,0,0,0
rewrite_into_ssa,34.11,9.42,0,0,0,0,0,0,0,0,0,0
run_warn_unused_result,0,0,0,0,0,0,0,0,0,0,0,0
analyze_function,0,33.33,0,0,0,0,0,0,0,0,0,0
optimize_inline_calls,660.47,-8.13,0,0,0,0,0,0,0,0,0.01,0
df_lr_free,188.89,70.08,0,0,0,0,0,0,0,0,-0.03,0
df_rd_alloc,53.2,56.97,0,0,0,0,0,0,0,0,-0.02,0
df_update_entry_exit_and_calls,13.73,45.27,0,0,0,0,0,0,0,0,0,0
execute_return_slot_opt,257.62,-15.34,0,0,0,0,0,0,0,0,0.01,0
execute_vect_slp,-30,80,0,0,0,0,0,0,0,0,-0.02,0
fixup_abnormal_edges,7.1,0.54,0,0,0,0,0,0,0,0,-0.01,0
free_lv_sets,42.17,37.27,0,0,0,0,0,0,0,0,0,0
init_lv_sets,-6.04,43.28,0,0,0,0,0,0,0,0,0,0
init_subregs_of_mode,13.47,44.36,0,0,0,0,0,0,0,0,-0.01,0
ira_build,13.08,19.07,214.17,57.93,0,27.5,246.16,-10.94,520,-41.93,0.01,5.6
ira_build_conflicts,13.68,36.36,0,0,0,0,0,0,0,0,-0.02,0
ira_color,5.65,21.26,0,0,0,0,0,0,0,0,-0.01,0
ira_compress_allocno_live_ranges,3.23,17.39,0,0,0,0,0,0,0,0,0,0
ix86_reorg,14.85,19.21,0,0,0,0,0,0,0,0,0,0
leaf_function_p,0,2.78,0,0,0,0,0,0,0,0,0,0
remove_uneccesary_loop_nodes_from_loop_tree,47.83,6.65,0,0,0,0,0,0,0,0,0.01,0
rewrite_out_of_ssa,109.86,27.85,0,0,0,0,0,0,0,0,-0.01,0
sched_finish,-20,5,0,0,0,0,0,0,0,0,0.01,0
sink_code_in_bb,126.33,14.65,0,0,0,0,0,0,0,0,-0.03,0
unshare_all_rtl_again,-8.34,10.23,0,0,0,0,0,0,0,0,0.02,0
setup_save_areas,45.22,9.27,0,0,0,0,0,0,0,0,-0.03,0
cgraph_postorder,-14.12,18.09,0,0,0,0,0,0,0,0,0.01,0
c_write_global_declarations,0,17.14,0,0,0,0,0,0,0,0,0,0
constant_boolean_node,0,0,0,0,0,0,0,0,0,0,0,0
copy_statement_list,0,0,0,0,0,0,0,0,0,0,0,0
debug_candidates,0,0,0,0,0,0,0,0,0,0,0,0
decl_type_context,0,0,0,0,0,0,0,0,0,0,0.01,0
deps_pools_are_empty_p,0,0,0,0,0,0,0,0,0,0,0,0
ds_merge_1,0,0,0,0,0,0,0,0,0,0,0,0
find_last_value,0,0,0,0,0,0,0,0,0,0,0,0
list_equal_p,0,0,0,0,0,0,0,0,0,0,0.02,0
mark_home_live,0,75,0,0,0,0,0,0,0,0,0,0
pop_operand,0,0,0,0,0,0,0,0,0,0,0,0
regno_use_in,0,0,0,0,0,0,0,0,0,0,0,0
size_diffop_loc,0,0,0,0,0,0,0,0,0,0,0,0
skip_unspecs_callback,0,0,0,0,0,0,0,0,0,0,0,0
validate_simplify_insn,0,0,0,0,0,0,0,0,0,0,0,0
,0,,0,,0,,0,,0,,-0.03049198667,
